id,url,bookTitle,bookImage,bookAuthors
78,https://www.goodreads.com/book/show/11486.The_Color_Purple,The Color Purple,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556348375l/11486.jpg,Alice Walker
79,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484l/14891.jpg,Betty  Smith
80,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SY475_.jpg,J.K. Rowling
81,https://www.goodreads.com/book/show/6288.The_Road,The Road,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424l/6288.jpg,Cormac McCarthy
82,https://www.goodreads.com/book/show/227463.A_Clockwork_Orange,A Clockwork Orange,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348339306l/227463.jpg,Anthony Burgess
83,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126l/4934.jpg,"Fyodor Dostoyevsky,Richard Pevear,Larissa Volokhonsky"
84,https://www.goodreads.com/book/show/252577.Angela_s_Ashes,Angela's Ashes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139l/252577.jpg,Frank McCourt
85,https://www.goodreads.com/book/show/234225.Dune,Dune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434908555l/234225._SY475_.jpg,"Frank Herbert,Domingo Santos"
86,https://www.goodreads.com/book/show/18660669-vampire-academy,Vampire Academy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381459853l/18660669._SY475_.jpg,Richelle Mead
87,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412242487l/7244.jpg,Barbara Kingsolver
88,https://www.goodreads.com/book/show/52036.Siddhartha,Siddhartha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580l/52036.jpg,"Hermann Hesse,Hilda Rosner"
89,https://www.goodreads.com/book/show/5470.1984,1984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348990566l/5470.jpg,"George Orwell,George Orwell,Erich Fromm,Regina Silveira,Marcelo Pen,Amazing Améziane,Harald Sachse,Golo Mann,Irving Howe,Raymond Williams,Thomas Pynchon,Homi K. Bhabha,Martha C. Nussbaum,Bernard Crick,George Packer"
90,https://www.goodreads.com/book/show/17470674-fahrenheit-451,Fahrenheit 451,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469704347l/17470674.jpg,Ray Bradbury
91,https://www.goodreads.com/book/show/662.Atlas_Shrugged,Atlas Shrugged,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167l/662.jpg,"Ayn Rand,Leonard Peikoff"
92,https://www.goodreads.com/book/show/3836.Don_Quixote,Don Quixote,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331l/3836._SY475_.jpg,"Miguel de Cervantes Saavedra,John Rutherford,Roberto González Echevarría"
93,https://www.goodreads.com/book/show/119322.The_Golden_Compass,The Golden Compass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203l/119322._SX318_.jpg,Philip Pullman
94,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714l/2165.jpg,Ernest Hemingway
95,https://www.goodreads.com/book/show/15931.The_Notebook,The Notebook,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385738917l/15931.jpg,Nicholas Sparks
96,https://www.goodreads.com/book/show/2619.Great_Expectations,Great Expectations,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309639398l/2619.jpg,"Charles Dickens,David Trotter,Charlotte Mitchell"
97,https://www.goodreads.com/book/show/151.Anna_Karenina,Anna Karenina,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452709554l/151.jpg,"Leo Tolstoy,Richard Pevear,Larissa Volokhonsky"
98,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,Winnie-the-Pooh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130l/99107.jpg,"A.A. Milne,Ernest H. Shepard"
99,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676l/23919.jpg,Edgar Allan Poe
100,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,A Prayer for Owen Meany,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260470010l/4473.jpg,John Irving
101,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire,Interview with the Vampire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380631642l/43763.jpg,Anne Rice
102,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281l/5.jpg,"J.K. Rowling,Mary GrandPré"
103,https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale,"Moby-Dick or, the Whale",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656l/153747.jpg,"Herman Melville,Andrew Delbanco,Tom Quirk,Rockwell Kent"
104,https://www.goodreads.com/book/show/4989.The_Red_Tent,The Red Tent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117l/4989.jpg,Anita Diamant
105,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,The Secret Life of Bees,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473454532l/37435._SY475_.jpg,Sue Monk Kidd
106,https://www.goodreads.com/book/show/7171637-clockwork-angel,Clockwork Angel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454962884l/7171637._SY475_.jpg,Cassandra Clare
107,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,Harry Potter and the Goblet of Fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6.jpg,"J.K. Rowling,Mary GrandPré"
108,https://www.goodreads.com/book/show/2187.Middlesex,Middlesex,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437029776l/2187._SY475_.jpg,Jeffrey Eugenides
109,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,And Then There Were None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299.jpg,Agatha Christie
110,https://www.goodreads.com/book/show/49552.The_Stranger,The Stranger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002l/49552._SY475_.jpg,"Albert Camus,Vedat Günyol,Jalal Al-e Ahmad,Matthew  Ward,علی‌اصغر خبره‌زاده"
111,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX318_.jpg,J.K. Rowling
